1000	0	0	0	0	0	0	0
2000	16	0	0	0	0	15	0
3000	16	0	16	0	0	15	16
4000	15	0	16	16	0	31	16
5000	46	0	16	16	0	47	31
6000	62	0	32	15	16	62	47
7000	78	0	47	31	0	79	62
8000	125	0	47	47	0	125	78
9000	172	0	78	47	0	140	141
20000	1625	0	687	890	79	1875	1109
30000	3125	0	1062	844	31	2594	1594
40000	5515	16	2578	1421	16	3797	4391
50000	13391	0	3579	2641	47	9656	7796
60000	13391	16	5547	4953	78	8938	9484
70000	13391	15	10703	5796	47	22438	6734
80000	13391	0	10703	6156	109	22438	19437
90000	13391	31	10703	12937	125	22438	19437
200000	13391	62	10703	12937	250	22438	19437
300000	13391	63	10703	12937	469	22438	19437
400000	13391	93	10703	12937	594	22438	19437
500000	13391	157	10703	12937	782	22438	19437
600000	13391	172	10703	12937	953	22438	19437
700000	13391	172	10703	12937	1063	22438	19437
800000	13391	203	10703	12937	1312	22438	19437
900000	13391	250	10703	12937	1344	22438	19437
2000000	13391	531	10703	12937	2875	22438	19437
3000000	13391	796	10703	12937	4390	22438	19437
4000000	13391	1015	10703	12937	5516	22438	19437
5000000	13391	1297	10703	12937	6625	22438	19437
6000000	13391	1203	10703	12937	10500	22438	19437
7000000	13391	1593	10703	12937	10500	22438	19437
8000000	13391	2234	10703	12937	10500	22438	19437
9000000	13391	2469	10703	12937	10500	22438	19437
10000000	13391	2797	10703	12937	10500	22438	19437
